Job Title,Count
"Editor, commissioning",21
Broadcast engineer,27
Industrial buyer,21
Multimedia specialist,16
Planning and development surveyor,18
Therapeutic radiographer,25
Administrator,11
Fisheries officer,18
Haematologist,21
Phytotherapist,13
"Engineer, control and instrumentation",21
"Teacher, early years/pre",15
Airline pilot,13
Intelligence analyst,20
Paediatric nurse,11
Fitness centre manager,14
"Accountant, chartered certified",21
Geographical information systems officer,13
"Administrator, charities/voluntary organisations",20
"Engineer, aeronautical",13
"Research officer, government",13
Retail buyer,25
Health promotion specialist,20
"Scientist, physiological",16
Occupational therapist,8
Television production assistant,18
"Development worker, community",11
"Journalist, magazine",16
"Surveyor, building control",20
Air cabin crew,19
Animal nutritionist,9
Broadcast journalist,22
Web designer,14
"Teacher, adult education",16
Retail banker,15
Restaurant manager,16
Building surveyor,13
"Chemist, analytical",17
Medical technical officer,16
Media planner,16
Customer service manager,16
Print production planner,14
"Social research officer, government",18
Police officer,22
Interior and spatial designer,18
Psychiatrist,14
Metallurgist,12
"Psychotherapist, child",16
"Therapist, art",18
Archaeologist,12
Ranger/warden,18
Estate manager/land agent,15
IT technical support officer,18
Management consultant,10
Fine artist,13
"Psychologist, forensic",15
Radio broadcast assistant,13
Animal technologist,13
Structural engineer,20
Lobbyist,15
Regulatory affairs officer,24
Plant breeder/geneticist,15
Telecommunications researcher,18
"Programmer, systems",15
"Education officer, community",16
Chartered loss adjuster,21
Barrister,14
Special educational needs teacher,12
"Accountant, chartered",15
Equities trader,14
Dealer,11
"Engineer, broadcasting (operations)",18
Research scientist (medical),13
Food technologist,14
"Psychotherapist, dance movement",22
Charity officer,16
International aid/development worker,16
Housing manager/officer,14
Maintenance engineer,18
"Conservation officer, nature",16
Freight forwarder,16
"Secretary, company",17
Chiropractor,16
Solicitor,17
Biomedical engineer,17
"Surveyor, quantity",18
"Scientist, research (medical)",15
"Conservator, furniture",17
"Scientist, research (physical sciences)",9
Theatre manager,19
Herbalist,11
"Surveyor, insurance",19
Optometrist,20
"Librarian, academic",15
Commissioning editor,17
"Pharmacist, community",11
Mudlogger,12
"Buyer, industrial",12
Event organiser,22
Social worker,21
Educational psychologist,18
Advertising account planner,26
Higher education lecturer,13
Special effects artist,14
Community education officer,14
Clinical research associate,17
"Designer, multimedia",12
Barista,18
Dentist,23
Furniture conservator/restorer,21
"Presenter, broadcasting",9
Quantity surveyor,12
Technical sales engineer,17
Paramedic,14
Engineering geologist,21
Psychotherapist,13
Records manager,12
Tree surgeon,11
Mining engineer,14
"Exhibitions officer, museum/gallery",10
"Runner, broadcasting/film/video",20
"Designer, graphic",11
Economist,18
Building services engineer,21
"Producer, radio",19
Marine scientist,20
Technical brewer,11
"Therapist, sports",12
"Conservator, museum/gallery",15
Community arts worker,16
Amenity horticulturist,19
Risk analyst,15
Textile designer,18
Patent attorney,17
"Conservation officer, historic buildings",12
"Teacher, music",17
Insurance account manager,20
Volunteer coordinator,14
Chartered management accountant,14
Race relations officer,20
"Engineer, automotive",12
Osteopath,16
Communications engineer,22
"Surveyor, planning and development",12
Clinical biochemist,21
Pharmacologist,11
Chief Operating Officer,20
Town planner,21
"Engineer, chemical",17
"Solicitor, Scotland",13
"Production designer, theatre/television/film",18
Materials engineer,19
Child psychotherapist,19
"Development worker, international aid",20
"Engineer, electrical",16
Recruitment consultant,9
"Doctor, general practice",21
Podiatrist,21
Fast food restaurant manager,16
Transport planner,16
Accounting technician,19
Sports administrator,15
Newspaper journalist,12
Training and development officer,18
"Scientist, research (life sciences)",13
"Programmer, multimedia",14
"Journalist, broadcasting",18
"Designer, industrial/product",18
"Designer, interior/spatial",14
Health physicist,21
Site engineer,14
"Scientist, biomedical",17
Systems analyst,17
"Designer, jewellery",14
"Production assistant, television",19
Facilities manager,15
Health and safety inspector,22
"Psychologist, occupational",17
Research scientist (life sciences),16
Armed forces training and education officer,23
Clinical molecular geneticist,15
